BBS Level 2,BBS Level 4a,ConBBSa,WFBS 1,WFBS 2,WFBS 3,WFBS 4,WFBS 5,WFBS 6,WFBS 7,WFBS 8,WFBS 9,WFBS 10,WFBS 11,WFBS 12,WFBS 13,WFBS 14,WFBS 15,WFBS 16,WFBS 17,WFBS 18,WFBS 19,WFBS 20,WFBS 21
1,1,11,M0101,,,,,,,,,,,,,,,,,,,,
1,2,12,M0103,,,,,,,,,,,,,,,,,,,,
1,3,13,M0104,,,,,,,,,,,,,,,,,,,,
1,4,14,M0105,,,,,,,,,,,,,,,,,,,,
1,5,15,M0106,,,,,,,,,,,,,,,,,,,,
1,6,16,Q0201,,,,,,,,,,,,,,,,,,,,
1,7,17,N0102,N0202,N0302,,,,,,,,,,,,,,,,,,
1,8,18,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,
1,9,19,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,,,,
1,10,110,Q0201,N0402,N0502,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902
1,11,111,Q0201,N0602,P0101,P0201,P0301,P0401,P0701,P0901,P0102,P0202,P0302,P0402,P0702,P0902,,,,,,,
1,12,112,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P0102,P0202,P0302,P0502,P0902,,,,,,,,,
1,13,113,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
1,14,114,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
1,15,115,Q0302,,,,,,,,,,,,,,,,,,,,
1,16,116,M0108,,,,,,,,,,,,,,,,,,,,
2,1,21,M0201,,,,,,,,,,,,,,,,,,,,
2,2,22,M0203,,,,,,,,,,,,,,,,,,,,
2,3,23,M0204,,,,,,,,,,,,,,,,,,,,
2,4,24,M0205,,,,,,,,,,,,,,,,,,,,
2,5,25,M0206,,,,,,,,,,,,,,,,,,,,
2,6,26,Q0201,,,,,,,,,,,,,,,,,,,,
2,7,27,N0102,N0202,N0302,,,,,,,,,,,,,,,,,,
2,8,28,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,
2,9,29,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,,,,
2,10,210,Q0201,N0402,N0502,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902
2,11,211,Q0201,N0602,P0101,P0201,P0301,P0401,P0701,P0901,P0102,P0202,P0302,P0402,P0702,P0902,,,,,,,
2,12,212,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P0102,P0202,P0302,P0502,P0902,,,,,,,,,
2,13,213,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
2,14,214,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
2,15,215,Q0302,,,,,,,,,,,,,,,,,,,,
2,16,216,M0208,,,,,,,,,,,,,,,,,,,,
3,1,31,M0401,,,,,,,,,,,,,,,,,,,,
3,2,32,M0403,,,,,,,,,,,,,,,,,,,,
3,3,33,M0404,,,,,,,,,,,,,,,,,,,,
3,4,34,M0405,,,,,,,,,,,,,,,,,,,,
3,5,35,M0406,,,,,,,,,,,,,,,,,,,,
3,6,36,Q0201,,,,,,,,,,,,,,,,,,,,
3,7,37,N0102,N0202,N0302,,,,,,,,,,,,,,,,,,
3,8,38,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,
3,9,39,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,,,,
3,10,310,Q0201,N0402,N0502,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902
3,11,311,Q0201,N0602,P0101,P0201,P0301,P0401,P0701,P0901,P0102,P0202,P0302,P0402,P0702,P0902,,,,,,,
3,12,312,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P001,P0102,P0202,P0302,P0502,P0902,P002,,,,,,,
3,13,313,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
3,14,314,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
3,15,315,Q0302,,,,,,,,,,,,,,,,,,,,
3,16,316,M0408,,,,,,,,,,,,,,,,,,,,
4,1,41,Q0302,,,,,,,,,,,,,,,,,,,,
4,2,42,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
4,3,43,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
4,4,44,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
4,5,45,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
4,6,46,Q0201,,,,,,,,,,,,,,,,,,,,
4,7,47,N0102,N0202,N0302,,,,,,,,,,,,,,,,,,
4,8,48,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,
4,9,49,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,,,,
4,10,410,Q0201,N0402,N0502,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902
4,11,411,Q0201,N0602,P0101,P0201,P0301,P0401,P0701,P0901,P0102,P0202,P0302,P0402,P0702,P0902,,,,,,,
4,12,412,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P001,P0102,P0202,P0302,P0502,P0902,P002,,,,,,,
4,13,413,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
4,14,414,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
4,15,415,Q0302,,,,,,,,,,,,,,,,,,,,
4,16,416,M0408,,,,,,,,,,,,,,,,,,,,
5,1,51,Q0701,,,,,,,,,,,,,,,,,,,,
5,2,52,Q0709,,,,,,,,,,,,,,,,,,,,
5,3,53,Q0709,,,,,,,,,,,,,,,,,,,,
5,4,54,Q0709,,,,,,,,,,,,,,,,,,,,
5,5,55,Q0709,,,,,,,,,,,,,,,,,,,,
5,6,56,Q0701,,,,,,,,,,,,,,,,,,,,
5,7,57,Q0701,,,,,,,,,,,,,,,,,,,,
5,8,58,Q0701,,,,,,,,,,,,,,,,,,,,
5,9,59,Q0701,,,,,,,,,,,,,,,,,,,,
5,10,510,Q0701,,,,,,,,,,,,,,,,,,,,
5,11,511,Q0701,,,,,,,,,,,,,,,,,,,,
5,12,512,Q0701,,,,,,,,,,,,,,,,,,,,
5,13,513,Q0701,,,,,,,,,,,,,,,,,,,,
5,14,514,Q0701,,,,,,,,,,,,,,,,,,,,
5,15,515,Q0702,,,,,,,,,,,,,,,,,,,,
5,16,516,Q0701,,,,,,,,,,,,,,,,,,,,
6,1,61,Q0302,,,,,,,,,,,,,,,,,,,,
6,2,62,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,3,63,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,4,64,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,5,65,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,6,66,Q0201,,,,,,,,,,,,,,,,,,,,
6,7,67,N0102,N0202,N0302,,,,,,,,,,,,,,,,,,
6,8,68,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,
6,9,69,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,,,,
6,10,610,Q0201,N0402,N0502,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902
6,11,611,Q0201,N0602,P0101,P0201,P0301,P0401,P0701,P0901,P0102,P0202,P0302,P0402,P0702,P0902,,,,,,,
6,12,612,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P001,P0102,P0202,P0302,P0502,P0902,P002,,,,,,,
6,13,613,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
6,14,614,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
6,15,615,Q0302,,,,,,,,,,,,,,,,,,,,
6,16,616,M0408,,,,,,,,,,,,,,,,,,,,
